Date,Open,High,Low,Close,Volume,Adj Close
7/21/16,99.830002,101,99.129997,99.43,32702000,98.389119
7/20/16,100,100.459999,99.739998,99.959999,26276000,98.91357
7/19/16,99.559998,100,99.339996,99.870003,23779900,98.824515
7/18/16,98.699997,100.129997,98.599998,99.830002,36493900,98.784933
7/15/16,98.919998,99.300003,98.5,98.779999,30137000,97.745922
7/14/16,97.389999,98.989998,97.32,98.790001,38919000,97.755819
7/13/16,97.410004,97.669998,96.839996,96.870003,25892200,95.855921
7/12/16,97.169998,97.699997,97.120003,97.419998,24167500,96.400159
7/11/16,96.75,97.650002,96.730003,96.980003,23794900,95.96477
7/8/16,96.489998,96.889999,96.050003,96.68,28912100,95.667907
7/7/16,95.699997,96.5,95.620003,95.940002,25139600,94.935656
7/6/16,94.599998,95.660004,94.370003,95.529999,30949100,94.529945
7/5/16,95.389999,95.400002,94.459999,94.989998,27705200,93.995597
7/1/16,95.489998,96.470001,95.330002,95.889999,26026500,94.886177
6/30/16,94.440002,95.769997,94.300003,95.599998,35836400,94.599212
6/29/16,93.970001,94.550003,93.629997,94.400002,36531000,93.411777
6/28/16,92.900002,93.660004,92.139999,93.589996,40444900,92.610251
6/27/16,93,93.050003,91.5,92.040001,45489600,91.076482
6/24/16,92.910004,94.660004,92.650002,93.400002,75311400,92.422245
6/23/16,95.940002,96.290001,95.25,96.099998,32240200,95.093977
6/22/16,96.25,96.889999,95.349998,95.550003,29219100,94.549739
6/21/16,94.940002,96.349998,94.68,95.910004,35546400,94.905971
6/20/16,96,96.57,95.029999,95.099998,34411900,94.104446
6/17/16,96.620003,96.650002,95.300003,95.330002,61008200,94.332041
6/16/16,96.449997,97.75,96.07,97.550003,31326800,96.528803
6/15/16,97.82,98.410004,97.029999,97.139999,29445200,96.123091
6/14/16,97.32,98.480003,96.75,97.459999,31931900,96.439741
6/13/16,98.690002,99.120003,97.099998,97.339996,38020500,96.320994
6/10/16,98.529999,99.349998,98.480003,98.830002,31712900,97.795402
6/9/16,98.5,99.989998,98.459999,99.650002,26601400,98.606817
6/8/16,99.019997,99.559998,98.68,98.940002,20848100,97.904251
6/7/16,99.25,99.870003,98.959999,99.029999,22409500,97.993305
6/6/16,97.989998,101.889999,97.550003,98.629997,23292500,97.597491
6/3/16,97.790001,98.269997,97.449997,97.919998,28062900,96.894924
6/2/16,97.599998,97.839996,96.629997,97.720001,40191600,96.697021
6/1/16,99.019997,99.540001,98.330002,98.459999,29173300,97.429272
5/31/16,99.599998,100.400002,98.82,99.860001,42307200,98.814618
5/27/16,99.440002,100.470001,99.25,100.349998,36229500,99.299486
5/26/16,99.68,100.730003,98.639999,100.410004,56331200,99.358863
5/25/16,98.669998,99.739998,98.110001,99.620003,38168800,98.577132
5/24/16,97.220001,98.089996,96.839996,97.900002,35140200,96.875137
5/23/16,95.870003,97.190002,95.669998,96.43,38018600,95.420524
5/20/16,94.639999,95.43,94.519997,95.220001,32026000,94.223192
5/19/16,94.639999,94.639999,93.57,94.199997,30442100,93.213866
5/18/16,94.160004,95.209999,93.889999,94.559998,42062400,93.570098
5/17/16,94.550003,94.699997,93.010002,93.489998,46916900,92.511299
5/16/16,92.389999,94.389999,91.650002,93.879997,61259800,92.897216
5/13/16,90,91.669998,90,90.519997,44392800,89.57239
5/12/16,92.720001,92.779999,89.470001,90.339996,76314700,89.394274
5/11/16,93.480003,93.57,92.459999,92.510002,28719100,91.541563
5/10/16,93.330002,93.57,92.110001,93.419998,33686800,92.442033
5/9/16,93,93.769997,92.589996,92.790001,32936400,91.81863
5/6/16,93.370003,93.449997,91.849998,92.720001,43458200,91.749363
5/5/16,94,94.07,92.68,93.239998,35890500,92.263917
5/4/16,95.199997,95.900002,93.82,94.190002,41025500,92.639944
5/3/16,94.199997,95.739998,93.68,95.18,56831300,93.613649
5/2/16,93.970001,94.080002,92.400002,93.639999,48160100,92.098992
4/29/16,93.989998,94.720001,92.510002,93.739998,68531500,92.197345
4/28/16,97.610001,97.879997,94.25,94.830002,82242700,93.269411
4/27/16,96,98.709999,95.68,97.82,114602100,96.210203
4/26/16,103.910004,105.300003,103.910004,104.349998,56016200,102.632739
4/25/16,105,105.650002,104.510002,105.080002,28031600,103.350729
4/22/16,105.010002,106.480003,104.620003,105.68,33683100,103.940854
4/21/16,106.93,106.93,105.519997,105.970001,31552500,104.226082
4/20/16,106.639999,108.089996,106.059998,107.129997,30611000,105.366989
4/19/16,107.879997,108,106.230003,106.910004,32384900,105.150615
4/18/16,108.889999,108.949997,106.940002,107.480003,60834000,105.711235
4/15/16,112.110001,112.300003,109.730003,109.849998,46939000,108.042227
4/14/16,111.620003,112.389999,111.330002,112.099998,25473900,110.2552
4/13/16,110.800003,112.339996,110.800003,112.040001,33257300,110.19619
4/12/16,109.339996,110.5,108.660004,110.440002,27232300,108.622522
4/11/16,108.970001,110.610001,108.830002,109.019997,29407500,107.225885
4/8/16,108.910004,109.769997,108.169998,108.660004,23581700,106.871816
4/7/16,109.949997,110.419998,108.120003,108.540001,31801900,106.753788
4/6/16,110.230003,110.980003,109.199997,110.959999,26404100,109.133961
4/5/16,109.510002,110.730003,109.419998,109.809998,26578700,108.002885
4/4/16,110.419998,112.190002,110.269997,111.120003,37356200,109.291332
4/1/16,108.779999,110,108.199997,109.989998,25874000,108.179923
3/31/16,109.720001,109.900002,108.879997,108.989998,25888400,107.19638
3/30/16,108.650002,110.419998,108.599998,109.559998,45601100,107.756999
3/29/16,104.889999,107.790001,104.879997,107.68,31190100,105.90794
3/28/16,106,106.190002,105.059998,105.190002,19411400,103.45892
3/24/16,105.470001,106.25,104.889999,105.669998,26133000,103.931016
3/23/16,106.480003,107.07,105.900002,106.129997,25703500,104.383445
3/22/16,105.25,107.290001,105.209999,106.720001,32444400,104.96374
3/21/16,105.93,107.650002,105.139999,105.910004,35502700,104.167072
3/18/16,106.339996,106.5,105.190002,105.919998,44205200,104.176902
3/17/16,105.519997,106.470001,104.959999,105.800003,34420700,104.058882
3/16/16,104.610001,106.309998,104.589996,105.970001,38303500,104.226082
3/15/16,103.959999,105.18,103.849998,104.580002,40067700,102.858958
3/14/16,101.910004,102.910004,101.779999,102.519997,25076100,100.832853
3/11/16,102.239998,102.279999,101.5,102.260002,27408200,100.577138
3/10/16,101.410004,102.239998,100.150002,101.169998,33513600,99.505072
3/9/16,101.309998,101.580002,100.269997,101.120003,27201700,99.455899
3/8/16,100.779999,101.760002,100.400002,101.029999,31561900,99.367376
3/7/16,102.389999,102.830002,100.959999,101.870003,35828900,100.193556
3/4/16,102.370003,103.75,101.370003,103.010002,46055100,101.314795
3/3/16,100.580002,101.709999,100.449997,101.5,36955700,99.829643
3/2/16,100.510002,100.889999,99.639999,100.75,33169600,99.091985
3/1/16,97.650002,100.769997,97.419998,100.529999,50407100,98.875604
2/29/16,96.860001,98.230003,96.650002,96.690002,35216300,95.098802
2/26/16,97.199997,98.019997,96.580002,96.910004,28991100,95.315183
2/25/16,96.050003,96.760002,95.25,96.760002,27582700,95.16765
2/24/16,93.980003,96.379997,93.32,96.099998,36255700,94.518507
2/23/16,96.400002,96.5,94.550003,94.690002,31942600,93.131715
2/22/16,96.309998,96.900002,95.919998,96.879997,34280800,95.28567
2/19/16,96,96.760002,95.800003,96.040001,35374200,94.459497
2/18/16,98.839996,98.889999,96.089996,96.260002,39021000,94.675878
2/17/16,96.669998,98.209999,96.150002,98.120003,44863200,96.505269
2/16/16,95.019997,96.849998,94.610001,96.639999,49057900,95.049622
2/12/16,94.190002,94.5,93.010002,93.989998,40351400,92.44323
2/11/16,93.790001,94.720001,92.589996,93.699997,50074700,92.158002
2/10/16,95.919998,96.349998,94.099998,94.269997,42343600,92.718621
2/9/16,94.290001,95.940002,93.93,94.989998,44331200,93.426774
2/8/16,93.129997,95.699997,93.040001,95.010002,54021400,93.446449
2/5/16,96.519997,96.919998,93.690002,94.019997,46418100,92.472736
2/4/16,95.860001,97.330002,95.190002,96.599998,46471700,95.010279
2/3/16,95,96.839996,94.080002,96.349998,45964300,94.252947
2/2/16,95.419998,96.040001,94.279999,94.480003,37357200,92.423652
2/1/16,96.470001,96.709999,95.400002,96.43,40943500,94.331208
1/29/16,94.790001,97.339996,94.349998,97.339996,64416500,95.221398
1/28/16,93.790001,94.519997,92.389999,94.089996,55678800,92.042134
1/27/16,96.040001,96.629997,93.339996,93.419998,133369700,91.386718
1/26/16,99.93,100.879997,98.07,99.989998,75077000,97.813722
1/25/16,101.519997,101.529999,99.209999,99.440002,51794500,97.275697
1/22/16,98.629997,101.459999,98.370003,101.419998,65800500,99.212599
1/21/16,97.059998,97.879997,94.940002,96.300003,52161500,94.20404
1/20/16,95.099998,98.190002,93.419998,96.790001,72334400,94.683373
1/19/16,98.410004,98.650002,95.5,96.660004,53087700,94.556205
1/15/16,96.199997,97.709999,95.360001,97.129997,79010000,95.015969
1/14/16,97.959999,100.480003,95.739998,99.519997,63170100,97.35395
1/13/16,100.32,101.190002,97.300003,97.389999,62439600,95.270312
1/12/16,100.550003,100.690002,98.839996,99.959999,49154200,97.784376
1/11/16,98.970001,99.059998,97.339996,98.529999,49739400,96.3855
1/8/16,98.550003,99.110001,96.760002,96.959999,70798000,94.849671
1/7/16,98.68,100.129997,96.43,96.449997,81094400,94.350769
1/6/16,100.559998,102.370003,99.870003,100.699997,68457400,98.508268
1/5/16,105.75,105.849998,102.410004,102.709999,55791000,100.474523
1/4/16,102.610001,105.370003,102,105.349998,67649400,103.057063
12/31/15,107.010002,107.029999,104.82,105.260002,40635300,102.969025
12/30/15,108.580002,108.699997,107.18,107.32,25213800,104.984187
12/29/15,106.959999,109.43,106.860001,108.739998,30931200,106.373279
12/28/15,107.589996,107.690002,106.18,106.82,26704200,104.495069
12/24/15,109,109,107.949997,108.029999,13570400,105.678733
12/23/15,107.269997,108.849998,107.199997,108.610001,32657400,106.246111
12/22/15,107.400002,107.720001,106.449997,107.230003,32789400,104.896149
12/21/15,107.279999,107.370003,105.57,107.330002,47590600,104.993971
12/18/15,108.910004,109.519997,105.809998,106.029999,96453300,103.722263
12/17/15,112.019997,112.25,108.980003,108.980003,44772800,106.608061
12/16/15,111.07,111.989998,108.800003,111.339996,56238500,108.916689
12/15/15,111.940002,112.800003,110.349998,110.489998,53323100,108.08519
12/14/15,112.18,112.68,109.790001,112.480003,64318700,110.031884
12/11/15,115.190002,115.389999,112.849998,113.18,46886200,110.716645
12/10/15,116.040001,116.940002,115.510002,116.169998,29104200,113.641566
12/9/15,117.639999,117.690002,115.080002,115.620003,46361400,113.103541
12/8/15,117.519997,118.599998,116.860001,118.230003,34309500,115.656735
12/7/15,118.980003,119.860001,117.809998,118.279999,32084200,115.705642
12/4/15,115.290001,119.25,115.110001,119.029999,57777000,116.439319
12/3/15,116.550003,116.790001,114.220001,115.199997,41569500,112.692677
12/2/15,117.339996,118.110001,116.080002,116.279999,33386600,113.749172
12/1/15,118.75,118.809998,116.860001,117.339996,34852400,114.786099
11/30/15,117.989998,119.410004,117.75,118.300003,39180300,115.725211
11/27/15,118.290001,118.410004,117.599998,117.809998,13046400,115.245871
11/25/15,119.209999,119.230003,117.919998,118.029999,21388300,115.461084
11/24/15,117.330002,119.349998,117.120003,118.879997,42803200,116.292582
11/23/15,119.269997,119.730003,117.339996,117.75,32482500,115.187179
11/20/15,119.199997,119.919998,118.849998,119.300003,34287100,116.703446
11/19/15,117.639999,119.75,116.760002,118.779999,43295800,116.19476
11/18/15,115.760002,117.489998,115.5,117.290001,46674700,114.737192
11/17/15,114.919998,115.050003,113.32,113.690002,27616900,111.215547
11/16/15,111.379997,114.239998,111,114.18,38106700,111.69488
11/13/15,115.199997,115.57,112.269997,112.339996,45812400,109.894924
11/12/15,116.260002,116.82,115.650002,115.720001,32525600,113.201363
11/11/15,116.370003,117.419998,115.209999,116.110001,45218000,113.582874
11/10/15,116.900002,118.07,116.059998,116.769997,59127900,114.228505
11/9/15,120.959999,121.809998,120.050003,120.57,33871400,117.945802
11/6/15,121.110001,121.809998,120.620003,121.059998,33042300,118.425135
11/5/15,121.849998,122.690002,120.18,120.919998,39552700,118.288182
11/4/15,123.129997,123.82,121.620003,122,44886100,118.835996
11/3/15,120.790001,123.489998,120.699997,122.57,45519000,119.391213
11/2/15,120.800003,121.360001,119.610001,121.18,32203300,118.037263
10/30/15,120.989998,121.220001,119.449997,119.5,49365300,116.400832
10/29/15,118.699997,120.690002,118.269997,120.529999,51227300,117.404119
10/28/15,116.93,119.300003,116.059998,119.269997,85551400,116.176794
10/27/15,115.400002,116.540001,113.989998,114.550003,69884400,111.579211
10/26/15,118.080002,118.129997,114.919998,115.279999,66333800,112.290275
10/23/15,116.699997,119.230003,116.330002,119.080002,59366900,115.991727
10/22/15,114.330002,115.5,114.099998,115.5,41654100,112.50457
10/21/15,114,115.580002,113.699997,113.760002,41795200,110.809698
10/20/15,111.339996,114.169998,110.82,113.769997,48778800,110.819433
10/19/15,110.800003,111.75,110.110001,111.730003,29759200,108.832346
10/16/15,111.779999,112,110.529999,111.040001,39232600,108.160239
10/15/15,110.93,112.099998,110.489998,111.860001,37673500,108.958972
10/14/15,111.290001,111.519997,109.559998,110.209999,44462400,107.351763
10/13/15,110.82,112.449997,110.68,111.790001,33049300,108.890788
10/12/15,112.730003,112.75,111.440002,111.599998,30467200,108.705713
10/9/15,110,112.279999,109.489998,112.120003,52766100,109.212231
10/8/15,110.190002,110.190002,108.209999,109.5,61979600,106.660177
10/7/15,111.739998,111.769997,109.410004,110.779999,46765600,107.90698
10/6/15,110.629997,111.739998,109.769997,111.309998,48196800,108.423233
10/5/15,109.879997,111.370003,109.07,110.779999,52064700,107.90698
10/2/15,108.010002,111.010002,107.550003,110.379997,58019800,107.517352
10/1/15,109.07,109.620003,107.309998,109.580002,63929100,106.738104
9/30/15,110.169998,111.540001,108.730003,110.300003,66473000,107.439432
9/29/15,112.830002,113.510002,107.860001,109.059998,73365400,106.231586
9/28/15,113.849998,114.57,112.440002,112.440002,52109000,109.523932
9/25/15,116.440002,116.690002,114.019997,114.709999,56151900,111.735057
9/24/15,113.25,115.5,112.370003,115,50219500,112.017537
9/23/15,113.629997,114.720001,113.300003,114.32,35756700,111.355172
9/22/15,113.379997,114.18,112.519997,113.400002,50346200,110.459034
9/21/15,113.669998,115.370003,113.660004,115.209999,50222000,112.22209
9/18/15,112.209999,114.300003,111.870003,113.449997,74285300,110.507733
9/17/15,115.660004,116.489998,113.720001,113.919998,64112600,110.965545
9/16/15,116.25,116.540001,115.440002,116.410004,37173500,113.390973
9/15/15,115.93,116.529999,114.419998,116.279999,43341200,113.26434
9/14/15,116.580002,116.889999,114.860001,115.309998,58363400,112.319495
9/11/15,111.790001,114.209999,111.760002,114.209999,49915500,111.248025
9/10/15,110.269997,113.279999,109.900002,112.57,62892800,109.650558
9/9/15,113.760002,114.019997,109.769997,110.150002,85010800,107.293321
9/8/15,111.75,112.559998,110.32,112.309998,54843600,109.397299
9/4/15,108.970001,110.449997,108.510002,109.269997,49996300,106.436139
9/3/15,112.489998,112.779999,110.040001,110.370003,53233900,107.507617
9/2/15,110.230003,112.339996,109.129997,112.339996,61888800,109.426519
9/1/15,110.150002,111.879997,107.360001,107.720001,76845900,104.926341
8/31/15,112.029999,114.529999,112,112.760002,56229300,109.835633
8/28/15,112.169998,113.309998,111.540001,113.290001,53164400,110.351886
8/27/15,112.230003,113.239998,110.019997,112.919998,84616100,109.991479
8/26/15,107.089996,109.889999,105.050003,109.690002,96774600,106.845252
8/25/15,111.110001,111.110001,103.5,103.739998,103601600,101.049557
8/24/15,94.870003,108.800003,92,103.120003,162206300,100.445641
8/21/15,110.43,111.900002,105.650002,105.760002,128275500,103.017174
8/20/15,114.080002,114.349998,111.629997,112.650002,68501600,109.728485
8/19/15,116.099998,116.519997,114.68,115.010002,47445700,112.02728
8/18/15,116.43,117.440002,116.010002,116.5,34560700,113.478636
8/17/15,116.040001,117.650002,115.5,117.160004,40884700,114.121522
8/14/15,114.32,116.309998,114.010002,115.959999,42929500,112.952639
8/13/15,116.040001,116.400002,114.540001,115.150002,48535800,112.163649
8/12/15,112.529999,115.419998,109.629997,115.239998,101217500,112.251311
8/11/15,117.809998,118.18,113.330002,113.489998,97082800,110.546696
8/10/15,116.529999,119.989998,116.529999,119.720001,54951600,116.615128
8/7/15,114.580002,116.25,114.5,115.519997,38670400,112.524048
8/6/15,115.970001,116.5,114.120003,115.129997,52903000,112.144163
8/5/15,112.949997,117.440002,112.099998,115.400002,99312600,111.900655
8/4/15,117.419998,117.699997,113.25,114.639999,124138600,111.163699
8/3/15,121.5,122.57,117.519997,118.440002,69976000,114.848472
7/31/15,122.599998,122.639999,120.910004,121.300003,42885000,117.621747
7/30/15,122.32,122.57,121.709999,122.370003,33628300,118.659301
7/29/15,123.150002,123.5,122.269997,122.989998,37011700,119.260495
7/28/15,123.379997,123.910004,122.550003,123.379997,33618100,119.638669
7/27/15,123.089996,123.610001,122.120003,122.769997,44455500,119.047165
7/24/15,125.32,125.739998,123.900002,124.5,42162300,120.724709
7/23/15,126.199997,127.089996,125.059998,125.160004,50999500,121.364699
7/22/15,121.989998,125.5,121.989998,125.220001,115450600,121.422877
7/21/15,132.850006,132.919998,130.320007,130.75,76756400,126.785186
7/20/15,130.970001,132.970001,130.699997,132.070007,58900200,128.065166
7/17/15,129.080002,129.619995,128.309998,129.619995,46164700,125.689447
7/16/15,127.739998,128.570007,127.349998,128.509995,36222400,124.613106
7/15/15,125.720001,127.150002,125.580002,126.82,33649200,122.974358
7/14/15,126.040001,126.370003,125.040001,125.610001,31768100,121.80105
7/13/15,125.029999,125.760002,124.32,125.660004,41440500,121.849537
7/10/15,121.940002,123.849998,121.209999,123.279999,61354500,119.541702
7/9/15,123.849998,124.059998,119.220001,120.07,77821600,116.429042
7/8/15,124.480003,124.639999,122.540001,122.57,60761600,118.853233
7/7/15,125.889999,126.150002,123.769997,125.690002,46946800,121.878626
7/6/15,124.940002,126.230003,124.849998,126,28060400,122.179223
7/2/15,126.43,126.690002,125.769997,126.440002,27211000,122.605883
7/1/15,126.900002,126.940002,125.989998,126.599998,30238800,122.761028
6/30/15,125.57,126.120003,124.860001,125.43,44370700,121.626508
6/29/15,125.459999,126.470001,124.480003,124.529999,49161400,120.753798
6/26/15,127.669998,127.989998,126.510002,126.75,44066800,122.906481
6/25/15,128.860001,129.199997,127.5,127.5,31938100,123.633738
6/24/15,127.209999,129.800003,127.120003,128.110001,55280900,124.225241
6/23/15,127.480003,127.610001,126.879997,127.029999,30268900,123.177989
